tconst,Id_TMDB,Titre,Titre Original,Date de sortie,Durée,Budget,Recettes,Pays d'origine,Langue Originale,Moyenne des votes,Nombre de votants,Popularité,Résumé,Lien_vidéo,Affiche du Film,Genres,Mots clés,Pays_production,Société_production,Logo,Mots_cles_top5,Société_production_top5,Annee_sortie
tt5598100,434616,Patients,Patients,2017-03-01,110,8616269.0,8562951.0,FR,fr,7.4,618.0,3.0,"Se laver, s'habiller, marcher, jouer au basket, voici ce que Ben ne peut plus faire à son arrivée dans un centre de rééducation suite à un grave accident. Ses nouveaux amis sont tétras, paras, traumas crâniens.... Bref, toute la crème du handicap. Ensemble ils vont apprendre la patience. Ils vont résister, se vanner, s'engueuler, se séduire mais surtout trouver l'énergie pour réapprendre à vivre. Patients est l'histoire d'une renaissance, d'un voyage chaotique fait de victoires et de défaites, de larmes et d’éclats de rire, mais surtout de rencontres : on ne guérit pas seul.",https://www.youtube.com/watch?v=YOvQUp3VPsg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/sv2Xdpk4nzY2qKAg5oG2qZkTrY9.jpg,"Comedy,Drama","friendship, swimming pool, hospital, based on memoir or autobiography, suicidal thoughts, 1990s, diving accident, tetraplegic, disabled person",France,"Gaumont, Mandarin Production, Kallouche Cinéma, Fimalac Entertainment, OCS, Ciné+, La Région Île-de-France, CNC","https://image.tmdb.org/t/p/w300/nda3dTUYdDrJ6rZqBpYvY865aDv.png, https://image.tmdb.org/t/p/w300/3IzRrnakUemajC7fzC07WRNyZ9D.png, https://image.tmdb.org/t/p/w300/f3hRdCaK1w9qH1Qs8nLd2L2bae1.png, https://image.tmdb.org/t/p/w300/zQ4fGaEnNkWfSzyygXRcUZwPmDG.png, https://image.tmdb.org/t/p/w300/4YZ5CQZkJa2FIKGtjLLoKhNOAIw.png, https://image.tmdb.org/t/p/w300/4Gp5A4YdjPBfsHT47ngHMaXWmb9.png","friendship,hospital,1990s","Gaumont,OCS,Ciné+,La Région Île-de-France,CNC",2017
tt7502234,484747,Les Chatouilles,Les Chatouilles,2018-11-14,103,8616269.0,8562951.0,FR,fr,7.4,368.0,2.3,"Odette, jolie trentenaire, est une danseuse drôle, extrême, et totalement rock’n roll. Grâce à ses séances chez le psy, elle va se remémorer sa jeunesse chaotique, dramatique, cocasse. En revivant des séquences de sa vie, elle sera confrontée au déni, à l’indifférence et surtout à sa propre question : sera-t-elle capable de surmonter sa douleur et de vivre enfin ?",https://vimeo.com/502092386,https://image.tmdb.org/t/p/w600_and_h900_bestv2/yDEbvbal7kmap5oxyekJ05EsNdi.jpg,"Comedy,Drama","pedophilia, dance, child abuse, rape, dancer, therapist, ballet dancer, childhood trauma, ballet, memory, pedophile, therapy, childhood sexual abuse",France,"Les Films du Kiosque, France 2 Cinéma, Orange Studio, uMedia","https://image.tmdb.org/t/p/w300/eKuMbpKtI0T8T4LmPsldgNbCaIE.png, https://image.tmdb.org/t/p/w300/9OQ0rm55xtlgX7KcAKMUePJSrQc.png, https://image.tmdb.org/t/p/w300/9nnaDAbuHwbikxAV1t1BC2Z60GC.png, https://image.tmdb.org/t/p/w300/tceh2aAORA5JxIZSLQ1GkzTBZDL.png",therapist,"Les Films du Kiosque,France 2 Cinéma,Orange Studio,uMedia",2018
tt4057632,364137,Nous trois ou rien,Nous trois ou rien,2015-11-04,102,8616269.0,8562951.0,FR,fr,7.5,500.0,1.9,"D’un petit village du sud de l’Iran aux cités parisiennes, Kheiron nous raconte le destin hors du commun de ses parents Hibat et Fereshteh, éternels optimistes, dans une comédie aux airs de conte universel qui évoque l’amour familial, le don de soi et surtout l’idéal d’un vivre-ensemble.",https://www.youtube.com/watch?v=jTpPcZQkAw8,https://image.tmdb.org/t/p/w600_and_h900_bestv2/aPYtRdJwt85OgZIUBZ5tHgmfyCO.jpg,"Comedy,Drama",iran,France,"Adama Pictures, M6, Gaumont, Ali'n Productions","https://image.tmdb.org/t/p/w300/g7p4vSwqsIo6zYptyN3hoDxFp7y.png, https://image.tmdb.org/t/p/w300/nda3dTUYdDrJ6rZqBpYvY865aDv.png, https://image.tmdb.org/t/p/w300/yN5wFO8H8grMaIbxI1S2DoDLxyp.png",,Gaumont,2015
tt6708116,498249,Mauvaises herbes,Mauvaises herbes,2018-11-21,104,8616269.0,8562951.0,FR,fr,7.6,616.0,6.9,"Waël, un ancien enfant des rues, vit en banlieue parisienne de petites arnaques qu’il commet avec Monique, une femme à la retraite qui tient visiblement beaucoup à lui.  Sa vie prend un tournant le jour où un ami de cette dernière, Victor, lui offre, sur insistance de Monique, un petit job bénévole dans son centre d’enfants exclus du système scolaire.  Waël se retrouve peu à peu responsable d’un groupe de six adolescents expulsés pour absentéisme, insolence ou encore port d’arme.  De cette rencontre explosive entre « mauvaises herbes » va naître un véritable miracle.",https://www.youtube.com/watch?v=0XYP6hX_hGE,https://image.tmdb.org/t/p/w600_and_h900_bestv2/4OCg7ISCuWnPT2HsAbrjR8YiADj.jpg,Comedy,Non renseigné,France,"Mars Films, paiva films, StudioCanal","https://image.tmdb.org/t/p/w300/cEqVIluQuO1ubtID8RvOem4ZiIg.png, https://image.tmdb.org/t/p/w300/5LEHONGkZBIoWvp1ygHOF8iyi1M.png",,"Mars Films,StudioCanal",2018
tt14364480,812583,Wake Up Dead Man : Une histoire à couteaux tirés,Wake Up Dead Man: A Knives Out Mystery,2025-11-26,144,210000000.0,92000000.0,US,en,4.0,0.0,13.1,"Le troisième mystère de Benoit Blanc, suite de « À couteaux tirés » (2019) et de « Glass Onion : Une histoire à couteaux tirés » (2022).",https://www.youtube.com/watch?v=rVJ-QChVFIY,https://image.tmdb.org/t/p/w600_and_h900_bestv2/x56yV1MunQDBZp6Rs4Fks3KdeD0.jpg,"Comedy,Crime,Drama","detective, investigation, sequel, murder, whodunit, murder mystery",United States of America,"T-Street, Ram Bergman Productions",https://image.tmdb.org/t/p/w300/aUOo1S2AabqQnRrXK6XuObWPDyK.png,"detective,investigation,sequel,murder,whodunit",,2025
tt5133392,405670,Zoologie,Зоология,2016-11-24,87,1200000.0,38058335.0,RU,ru,5.2,36.0,1.3,"Un zoo dans une petite ville du sud de la Russie. Natacha s’occupe de nourrir les animaux. Femme seule, la cinquantaine bien frappée, elle vit encore avec sa mère et entretient de bien meilleures relations avec ses compagnons à quatre pattes qu’avec ses collègues de travail. D’ailleurs, ces derniers prennent un malin plaisir à lui jouer des tours. Elle mène une vie sans grandes perspectives, jusqu’au jour où elle ressent une douleur lancinante dans le dos et remarque qu’il lui pousse une queue de chat ! Dans le cadre d’une consultation, elle fait la connaissance du radiologue Pyotr, un jeune homme qui fait rapidement battre le cœur de Natacha. Mais au même moment, une vague de rumeurs déferle sur la petite ville. Une femme serait possédée par le diable !",https://www.youtube.com/watch?v=dViJAc8PHMU,https://image.tmdb.org/t/p/w600_and_h900_bestv2/vRWler7lU3ZghkmTwiZTvjDkHAI.jpg,"Comedy,Drama,Fantasy","zoo, magic realism","France, Germany, Russia","Arizona Films, New People Film Company, MovieBrats Pictures, Cine Chromatix KG, CineLab, Eurimages, Ministry of Culture of the Russian Federation","https://image.tmdb.org/t/p/w300/jZz6a4jRImsklUdEcEVuoJknkno.png, https://image.tmdb.org/t/p/w300/w9sEuXHlyfa3ZO9VqFK10TGGKdV.png, https://image.tmdb.org/t/p/w300/aF7qajGJGtMpdrtvssM9g90YanX.png, https://image.tmdb.org/t/p/w300/cZDbkvJPOnzHlmu2CDx05DcEnaf.png",,Eurimages,2016
tt21223048,1032457,"Un baiser, vous êtes filmés",Merry Kiss Cam,2022-11-24,90,2500000.0,92000000.0,US,en,5.2,6.0,1.3,"Lorsque deux personnes issues de mondes très différents se rencontrent à cause d’une « kiss cam », cela peut-il mener à l'amour?",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/k4ieC19kWP2DPKLcHlaPEDVtaSI.jpg,"Comedy,Romance",christmas,United States of America,MarVista Entertainment,https://image.tmdb.org/t/p/w300/r3r7qbHKgo8N0yr7r1TjLmzLXfQ.png,christmas,,2022
tt0282410,13055,Chance,Chance,2002-09-22,75,75000.0,92000000.0,US,en,5.7,11.0,0.3,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/nrSrZ3udX7afhB6OL3vx3vnDF0M.jpg,"Comedy,Drama","relationship, woman director",United States of America,,Non renseigné,"relationship,woman director",,2002
tt14805128,796166,Plumes,ريش,2021-06-23,112,50871.0,38058335.0,EG,ar,5.7,26.0,0.8,"Une mère passive, dévouée corps et âme à son mari et ses enfants. Enfermée dans un quotidien monotone, rythmé de tâches banales et répétitives, elle se fait aussi petite que possible. Un simple tour de magie tourne mal pendant l'anniversaire de son fils de quatre ans et c’est une avalanche de catastrophes absurdes et improbables qui s’abat sur la famille. Le magicien transforme son mari, un père autoritaire, en poule. La mère n’a d’autre choix que de sortir de sa réserve et assumer le rôle de cheffe de famille, remuant ciel et terre pour retrouver son mari. Luttant pour sa survie et celle de ses enfants, elle devient peu à peu une femme indépendante et forte.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/uUYBYvWUaGFZJvMezV4F6qh7vNY.jpg,"Comedy,Drama",absurd,"Egypt, France, Netherlands, Greece","Still Moving, Keplerfilm, Heretic, Film Clinic, Lagoonie Film Production","https://image.tmdb.org/t/p/w300/vlHEHKuHWhMJ2HNrlLmXM8jn2Z2.png, https://image.tmdb.org/t/p/w300/wXcInrUH3f5Vc2Ok13kURwUQ9Zv.png, https://image.tmdb.org/t/p/w300/eQzzrPMtHbgAxKgQysFH73mHaHF.png, https://image.tmdb.org/t/p/w300/wiYuQiEr15YGdedQP1h9vzsGXVf.png, https://image.tmdb.org/t/p/w300/h9mgtNwvdHjqmJPHNgfsnqgPsjN.png",absurd,,2021
tt4991660,372355,"Kalo Pothi, un village au Népal",Kalo Pothi,2015-12-09,90,359522.0,38058335.0,NP,ne,5.8,13.0,0.7,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qLsNc2EI6fc3g2pqHno1QItLsRC.jpg,"Action,Drama,History","civil war, nepal","Nepal, Germany, France","Tandem Communications, Shooney Films, Mila Productions, Catherine Dussart Productions","https://image.tmdb.org/t/p/w300/opIskZN730MvBtnjUXoy8xLM772.png, https://image.tmdb.org/t/p/w300/gvpnQhxFbQ6afXjzRKt654HPy7y.png",,,2015
