tconst,Id_TMDB,Titre,Titre Original,Date de sortie,Durée,Budget,Recettes,Pays d'origine,Langue Originale,Moyenne des votes,Nombre de votants,Popularité,Résumé,Lien_vidéo,Affiche du Film,Genres,Mots clés,Pays_production,Société_production,Logo,Mots_cles_top5,Société_production_top5,Annee_sortie
tt1524169,321040,Day Camp,Day Camp,2009-01-01,72,40000000.0,92000000.0,US,en,4.0,0.0,3.6,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2Non renseigné,Comedy,Non renseigné,United States of America,,Non renseigné,,,2009
tt1603444,129466,Unitards,Unitards,2010-01-01,107,40000000.0,92000000.0,US,en,4.0,0.0,0.0,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/1JWKfVxv7vsL7kLBJN4Uz2ZejbY.jpg,"Comedy,Family,Music",Non renseigné,United States of America,,Non renseigné,,,2010
tt11702252,916721,The Year Between,The Year Between,2023-03-03,94,40000000.0,92000000.0,US,en,4.2,10.0,1.8,"Après avoir été diagnostiquée avec une maladie mentale, Clemence Miller abandonne l'université et rentre à la maison pour vivre dans le sous-sol de sa famille. Devant faire face à ses relations brisées et aux responsabilités de l'âge adulte, elle rend tout le monde autour d'elle... fou.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bdnssamVMsNgeqVE5hFC10HVuJo.jpg,"Comedy,Drama","mental illness, woman director, bipolar disorder, late coming of age, college dropout",United States of America,"Level Forward, Full Spectrum Features, Chicago Media Angels","https://image.tmdb.org/t/p/w300/jW6q5HfAh4LrIQHqM3dqBq937Xa.png, https://image.tmdb.org/t/p/w300/glnbLuSac2ZQFYGssl1pFVS5PFO.png, https://image.tmdb.org/t/p/w300/fX1W5MurtT9DxfB3nqphJefpJ5g.png","mental illness,woman director",,2023
tt0350703,293411,La chatte andalouse,La chatte andalouse,2002-11-25,48,8616269.0,8562951.0,US,en,4.5,4.0,0.6,"Âgé de 21 ans à peine, Sœur Angèle vend le miel produit par sa communauté religieuse, ""Les petites sœurs de la couronne d'épines"". Elle se consacre ses après-midis à des activités beaucoup moins avouables...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qsTMZOtjrzvQBQO2sCcPS8BmU4R.jpg,"Comedy,Drama",Non renseigné,France,Canal+,https://image.tmdb.org/t/p/w300/9aotxauvc9685tq9pTcRJszuT06.png,,Canal+,2002
tt1087829,12174,Aide-toi le ciel t'aidera,Aide-toi le ciel t'aidera,2008-08-30,94,8616269.0,8562951.0,US,en,4.5,4.0,1.4,"Sonia, jolie black, mariée, quatre enfants, est aide familiale dans sa cité. Le jour où elle marie sa fille, le ciel lui tombe sur la tête. Robert, son voisin de palier octogénaire, est son seul recours. Plus blanc que lui, difficile de trouver. Plus serviable non plus, d'ailleurs... Mais dans la vie rien n'est gratuit. Sauf le hasard, si on sait en profiter. Aide-toi, le ciel t'aidera...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/pNCybUBAusAUgya9rl9KjIuiqeP.jpg,Comedy,Non renseigné,France,,Non renseigné,,,2008
tt2519088,731774,Dangerous People,Dangerous People,2015-04-01,95,40000000.0,92000000.0,US,en,4.7,3.0,0.1,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bUBJgGcWZ4XTKixmO2oPfo6LrmE.jpg,"Comedy,Horror,Thriller",Non renseigné,United States of America,,Non renseigné,,,2015
tt3627780,308919,Le Noël de mes dix ans,Wishin' and Hopin',2014-11-23,83,40000000.0,92000000.0,US,en,4.8,12.0,2.5,"Felix Funicello, écrivain américain d’une soixantaine d’années, revisite pour nous ses souvenirs du Noël de l’année 1962 qui resta, pour différentes raisons, gravé à jamais dans sa mémoire. Cette année-là, il se passe beaucoup de choses dans la vie du petit Felix, dix ans, élève de dernière année à Saint-Aloysius (Saint-Louis), une école catholique stricte et austère. Quelques jours avant Noël, une nouvelle enseignante québécoise laïque remplace temporairement l’institutrice de Felix. Beaucoup plus chaleureuse et ouverte que les religieuses et passionnée par son métier, elle va laisser un souvenir indélébile à Felix. Peu de temps après, une nouvelle élève, Zhenia, fait à son tour son entrée dans la classe. C'est une petite Russe, dont la famille vient d’émigrer aux Etats-Unis. Jolie et plus âgée que les autres élèves, elle ne laisse pas les garçons de la classe indifférents.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ejL6YkADt2QHyfy4VhouaSLRQNQ.jpg,"Comedy,Drama,Family","small town, based on novel or book, substitute teacher, connecticut, catholic school, exchange student, christmas, 1960s",United States of America,"Stargazer Films, Synthetic Cinema International, Flavorlab","https://image.tmdb.org/t/p/w300/xuR3B9b9lAvpoTcScwWbKgr8beJ.png, https://image.tmdb.org/t/p/w300/4jwuS7AnT0Itq4ExleF90Cmo3mt.png","small town,based on novel or book,christmas,1960s",,2014
tt2644044,395978,Where is Rocky II?,Where is Rocky II?,2016-05-01,93,27000000.0,38058335.0,US,en,5.0,0.0,2.6,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bZxQhPXTas4vtyyvZbL8D1ADJB2.jpg,"Comedy,Documentary,Mystery","private investigator, art","France, Germany, Belgium, Italy","Vivo Film, The Ink Connection, Vandertastic Films, Frakas Productions, In Between Art Film","https://image.tmdb.org/t/p/w300/wqc8HTYdCCFnguN2Ma55lr2HIyC.png, https://image.tmdb.org/t/p/w300/qy0c8vFDjkPpbuBCsZCvyn3rCOr.png, https://image.tmdb.org/t/p/w300/d0Cld16NzSAizrXfO6jrN3nH6az.png",,,2016
tt0215516,48345,Nobody's Baby,Nobody's Baby,2001-01-01,110,40000000.0,92000000.0,US,en,5.1,28.0,1.8,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zzqp3TKdTZ10WcOzXvBoBZfzv7V.jpg,"Comedy,Drama",Non renseigné,United States of America,,Non renseigné,,,2001
tt2609778,319017,Le dernier hétéro sur Terre,The Last Straight Man,2014-05-06,110,40000000.0,92000000.0,US,en,5.1,38.0,0.3,"Lewis ne veut aucunement rater l'enterrement de vie de garçon de Cooper, son meilleur ami hétéro. Et pour cause : il en est secrètement amoureux... Après une soirée endiablée, les deux hommes finissent par enfin coucher ensemble et décident alors de se donner rendez-vous chaque année, le même jour, à la même heure, dans la même chambre d'hôtel...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/cZ7LborKEsRGiXORKRS4kvZWNpx.jpg,"Comedy,Drama,Romance","sexual identity, friendship, sexuality, male homosexuality, in the closet, lgbt, closeted homosexual, gay theme",United States of America,Thrillsville Productions,Non renseigné,"friendship,lgbt,gay theme",,2014
tt2933632,403059,According to Her,According to Her,2016-11-21,90,13000000.0,20768906.0,US,en,5.2,3.0,1.8,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/kOMFzYRdx6VcKWNR0oQZy5DOukF.jpg,"Comedy,Drama","new york city, mother, immigration, motherly love, love, russian immigrant , piano, immigrant experience, rich husband, female pianist","France, United States of America",,Non renseigné,"new york city,love",,2016
tt2467700,539745,La Ferme des animaux,Animal Farm,2025-06-09,96,27000000.0,38058335.0,GB,en,5.4,5.0,3.2,"Un groupe d'animaux se rebellent contre leurs maîtres humains et prennent le contrôle de la ferme. Leur révolte terminée, ils sont confrontés à de nouveaux défis sous le règne d'un cochon rusé nommé Napoléon. Cette situation les oblige à trouver le courage de s'opposer à Napoléon.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fPAdPR8oxY79fNzVQqTADtZVyAC.jpg,"Adventure,Animation,Comedy","corruption, based on novel or book, pig, horse, oppression, power abuse","United Kingdom, Canada","Aniventure, The Imaginarium, Cinesite Animation","https://image.tmdb.org/t/p/w300/aexrPIItAbXLEUGB9Dp1Kqwhhwc.png, https://image.tmdb.org/t/p/w300/7RvgzApnxYrdy9sqIAn1axTKuxu.png, https://image.tmdb.org/t/p/w300/u7LNZRgcXH5plshrVQM9qXnlDMZ.png","corruption,based on novel or book,horse",,2025
tt4027504,399417,Regarde-moi dans les yeux,Lazy Eye,2016-11-11,91,40000000.0,92000000.0,US,en,5.5,50.0,3.6,"Après plusieurs années de séparation, Dean se reconnecte avec Alex, le grand Amour perdu de sa vie. Le temps d’un week-end, les deux ex-amants se retrouvent dans une villa de rêve propice aux rapprochements. Dès lors les sentiments enfouis ne tardent pas à se réveiller mais des secrets intimes surgissent et pourraient bien troubler l'harmonie.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jG9qlIIVZMNPqDU3hHzrN7mnghW.jpg,"Comedy,Drama,Romance","lgbt, gay theme",United States of America,T42 Entertainment,Non renseigné,"lgbt,gay theme",,2016
tt4109268,381043,Asperger's Are Us,Asperger's Are Us,2016-11-11,83,40000000.0,92000000.0,US,en,5.5,20.0,1.2,Quatre amis autistes et membres d'une troupe d'humoristes s'apprêtent à donner leur dernier spectacle avant de continuer chacun dans leur voie.,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wcjQ3xU4eM2ZcrLsvJQQilhTthH.jpg,"Comedy,Documentary,Drama",autism,United States of America,Duplass Brothers Productions,https://image.tmdb.org/t/p/w300/t8p2PpDBJo282a5TTr6Ln0wVkMZ.png,,Duplass Brothers Productions,2016
tt0177845,67252,Hotel Splendide,Hotel Splendide,2000-09-21,98,12500000.0,7164778.0,"FR, US, GB",en,5.5,28.0,4.5,"Sur une île glaciale et éloignée du rivage, l'Hôtel Splendide continue de survivre, dans une ambiance morne et solitaire, géré par les fils de feu la Dame Blanche, dont le fantôme continue à interdire à sa progéniture tout contact avec le monde extérieur. Arrive Kath, la nouvelle chef, et sa (très bonne) cuisine...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/td1G4qqhCnOQ4ZliPU3BnWVbRrG.jpg,Comedy,Non renseigné,"France, United Kingdom","Renegade Films, Charles Gassot, Film4 Productions, Canal+, Film Four International","https://image.tmdb.org/t/p/w300/iNB1FCwT4XjO6wkN3PnpPnwr9GX.png, https://image.tmdb.org/t/p/w300/9aotxauvc9685tq9pTcRJszuT06.png, https://image.tmdb.org/t/p/w300/ruUf9qymJ1gKLmerDKO8pgq1CYM.png",,"Film4 Productions,Canal+",2000
tt20216624,1043870,Reverse the Curse,Reverse the Curse,2024-06-14,105,40000000.0,92000000.0,US,en,5.6,9.0,5.4,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/yvKMYcUKcN9U6XE9SUYJtDoGgl4.jpg,"Comedy,Drama,Romance","based on novel or book, 1970s, baseball, terminal illness, red sox, estranged father",United States of America,"Yale Productions, Pinnacle Sports, Media & Entertainment, Great Escape","https://image.tmdb.org/t/p/w300/avj80RsunqwDbOS6oLp4plRE5UQ.png, https://image.tmdb.org/t/p/w300/8Un12B5j7i4zVLRr24Mx4EsEvbq.png, https://image.tmdb.org/t/p/w300/tx6QPkhCXKhOr18hAhPGvT4hZDE.png","based on novel or book,1970s,terminal illness",,2024
tt7026270,479316,"Summer Days, Summer Nights","Summer Days, Summer Nights",2018-04-27,124,40000000.0,92000000.0,US,en,5.6,21.0,2.3,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qiJuoCkE50Pyw0QAkUIblEsveaH.jpg,"Comedy,Drama,Romance","long island, new york, summer job, 1980s",United States of America,"Marlboro Road Gang Productions, Atlantic Pictures, Achates Film Partners, Harbor Picture Company","https://image.tmdb.org/t/p/w300/aixGsrDcrXmzkrOs5nr5YqT01ry.png, https://image.tmdb.org/t/p/w300/3klEFhjGxV1hC2Ai71L4PpjGiBz.png, https://image.tmdb.org/t/p/w300/4qHxIzt8w8CI26dY0RDY8WIOgR6.png",1980s,,2018
tt0264333,21893,Le club des ravisseurs,The Abduction Club,2002-07-19,96,27000000.0,38058335.0,"IE, GB, US",en,5.7,23.0,3.1,"A la fin du XVIIIe siècle, en Irlande, dans les familles nombreuses, les fils aînés héritent de la totalité des biens familiaux, tandis que les plus jeunes se retrouvent sans le sou. Mais l'Abduction Club, un groupe de jeunes gens, va détourner cette règle en enlevant de riches femmes pour les convaincre de les épouser...",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/bjsQB6FT4ewznTmO4A5G8Rx1NUh.jpg,"Action,Adventure,Comedy",Non renseigné,"France, Germany, Ireland, United Kingdom","Canal+, Gudrun Gruber Filmproduktion, KC Medien, Samson Films, UGC YM","https://image.tmdb.org/t/p/w300/9aotxauvc9685tq9pTcRJszuT06.png, https://image.tmdb.org/t/p/w300/m8ANv8cvk8RfnYY3Cx3yTGjIAxd.png",,Canal+,2002
tt8174412,583095,Funny Pages,Funny Pages,2022-08-26,87,40000000.0,92000000.0,,en,5.7,80.0,2.2,Le passage à l'âge adulte d'un dessinateur adolescent qui rejette le confort de sa vie pour partir en quête de lui-même.,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/gCgdVvExdHM9Qjtc8yoN7MRrC7x.jpg,Comedy,"dark comedy, coming of age, yonkers, new york, cartoonist, christmas, trenton, new jersey",United States of America,"A24, Elara Pictures","https://image.tmdb.org/t/p/w300/1ZXsGaFPgrgS6ZZGS37AqD5uU12.png, https://image.tmdb.org/t/p/w300/aQX3CONWGOU7wsuHFeqr8gXGnHu.png","dark comedy,coming of age,christmas,new jersey",A24,2022
tt10975992,643938,Prête-moi ta main à Noël,Mistletoe & Menorahs,2019-12-07,100,40000000.0,92000000.0,US,en,5.7,37.0,5.6,"Christy est une véritable toquée de Noël. Elle travaille comme commerciale dans une société de jouets et lors d'une présentation à l'un de ses clients, elle se vante d'être une experte en traditions. Celui-ci l'invite donc à sa réception de fin d'année et compte même lui confier l'animation de la cérémonie, mais ce qu'elle prend pour un pot de Noël est en vérité une soirée de Hanoucca. Elle doit donc trouver rapidement quelqu'un qui l'initie aux traditions juives. Jonathan, un séduisant professeur d'histoire, accepte de l'aider malgré une première rencontre pour le moins houleuse.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/rcunPWxdsg6oC2JypdGi4mbvhhL.jpg,"Comedy,Drama,Romance","hanukkah, christmas",United States of America,"Lifetime, Neshama Entertainment","https://image.tmdb.org/t/p/w300/6LVLYfZAEQfhJey0MGvhFXdDEK1.png, https://image.tmdb.org/t/p/w300/464kIonX9LVW2oaygXrIeYLHcoo.png",christmas,,2019
tt14181816,800089,Maggie Moore(s),Maggie Moore(s),2023-06-16,99,40000000.0,92000000.0,US,en,5.8,161.0,3.7,Le chef de la police dans une ville tranquille de l'Arizona est soudainement confronté aux meurtres consécutifs de deux femmes portant le même nom.,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/vxHNKm9mDkv9yD6lShKBpDoilUB.jpg,"Comedy,Crime,Mystery","small town, neo-nazism, arizona, police chief, dark comedy, ex husband, based on true story, murder, dating, widower, diabetic, nosy neighbor, murder mystery, sex offender, strange, food delivery, desert town, secrets, sub shop, deaf man, romantic relationship",United States of America,"Vincent Newman Entertainment, Shoestring Pictures, Indy Entertainment",https://image.tmdb.org/t/p/w300/3Lb6fsbpbXaeOfxtNk1xzn70QB9.png,"small town,dark comedy,based on true story,murder,dating,widower",,2023
tt0419256,15013,Wah-Wah,Wah-Wah,2005-08-17,120,27000000.0,38058335.0,"SZ, US, GB",en,5.8,37.0,2.4,"Avec cette histoire en grande partie autobiographique de son enfance au Swaziland, Grant aborde les derniers jours de l'Empire britannique dans ce pays pendant les années 1960. Sa famille se désintègre, à l'image de l'administration britannique.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/9skFmG5gbmxfvDyAN5h8dSHtppT.jpg,"Comedy,Drama","adultery, brain tumor, alcoholism, divorce, 1960s, swaziland","Swaziland, France, South Africa, United Kingdom","Reeleyes Film, Wah Film Productions Ltd., Scion Films, Loma Nasha",https://image.tmdb.org/t/p/w300/xePgQxppZtgSMICGgnKAWlVobt7.png,"alcoholism,divorce,1960s",,2005
tt0342272,10913,Dear Wendy,Dear Wendy,2005-02-04,105,27000000.0,38058335.0,DK,en,5.8,133.0,5.7,"Dick, 18 ans et solitaire, vit dans une petite ville minière. Un jour, un petit revolver tombe entre ses mains, il se sent irrésistiblement attiré par cet objet, et ceci malgré ses convictions profondément pacifistes. Avec ce nouvel ami, il va bientôt convaincre les autres jeunes désoeuvrés de la ville de le rejoindre dans un club secret ""Les Dandys"", club basé sur les principes du pacifisme et des armes. Malgré leur foi dans la règle première du Dandy - ne lève jamais ton arme - bientôt les membres du club vont se trouver dans une situation difficile lorsqu'ils réalisent que les règles sont faites pour être brisées.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/2IF19Tcx5D9d8iUWa0PxFhO6MYZ.jpg,"Comedy,Crime,Drama","underdog, friendship, secret society, west virginia, pacifist, self esteem","Denmark, France, United Kingdom, Germany","Lucky Punch, Nimbus Film, Zentropa Entertainments, Pain Unlimited Filmproduktion, Slot Machine, Liberator2, Sigmaiii Films, TV 2, ARTE France Cinéma, Little Wing Films","https://image.tmdb.org/t/p/w300/cDY49SOQwJixJSMun9Haerx8dAQ.png, https://image.tmdb.org/t/p/w300/nebkQYtQKhZyHJfh5v0oGpNbPzu.png, https://image.tmdb.org/t/p/w300/vd6oWpxQXyaeWGfm0A5SnJi8pyo.png, https://image.tmdb.org/t/p/w300/fft3jrctrZNcgAxgN1w5Givtzip.png, https://image.tmdb.org/t/p/w300/huC7HqorvUThGIrENrbcHmQVUA0.png",friendship,ARTE France Cinéma,2005
tt0486572,14848,The Dog Problem,The Dog Problem,2006-09-11,88,40000000.0,92000000.0,US,en,5.8,53.0,2.4,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hErQSzvfemQDawgMvbNmN1UgcCA.jpg,Comedy,Non renseigné,United States of America,,Non renseigné,,,2006
tt15296598,876576,Tut Tut Cory Bolides : En route Chrissy !,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021-09-21,61,40000000.0,92000000.0,US,en,5.9,28.0,0.7,"Chrissy, la petite sœur curieuse de Cory Bolides, court la ville d'une aventure rigolote à l'autre, enchaînant jeux d'arcade, luge et remèdes contre le hoquet.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/eZvpTcUk0L8paEqegXzUcJa9nG.jpg,"Animation,Family",Non renseigné,United States of America,,Non renseigné,,,2021
tt14935966,876825,I Love My Dad,I Love My Dad,2022-08-05,95,40000000.0,92000000.0,US,en,5.9,47.0,4.4,"Un père désespéré se fait passer pour une femme sur Internet pour renouer avec son fils dont il est séparé, mais les choses se compliquent lorsque le jeune homme veut la rencontrer en personne.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fTP28OF0SlRRyng0QX3ekzCPFgW.jpg,"Comedy,Drama,Romance",father son relationship,United States of America,"Atlas Industries, American High, Burn Later Productions, Hantz Motion Pictures","https://image.tmdb.org/t/p/w300/x5YUWcJknvgnNXxX3jCmDxpB1YA.png, https://image.tmdb.org/t/p/w300/rFyhrN607SUIlQ7wyH8lQOemqz3.png, https://image.tmdb.org/t/p/w300/wZT3JBshK7M7ChquboLlPyV9L0p.png, https://image.tmdb.org/t/p/w300/zqhACjyF9HUAnpaB3Qav7b3Iw3x.png",father son relationship,,2022
tt1748224,123242,The Brooklyn Brothers,Brooklyn Brothers Beat the Best,2012-09-21,98,40000000.0,92000000.0,US,en,5.9,9.0,3.8,"Largué par sa petite amie, Alex Logan, chanteur-compositeur, est sur le point d’abandonner son rêve d’être artiste. Il rencontre Jim, musicien révolutionnaire autoproclamé, qui le convainc de poursuivre son idéal. Ils fondent ensemble les Brooklyn Brothers et s’embarquent dans un road-trip improvisé à travers les États-Unis dont le point culminant sera un concours tremplin entre plusieurs groupes de musique à Los Angeles. Alex et Jim se construisent un style musical unique en proposant à leur public le son de jouets pour enfants. Les deux compères donnent une série de concerts grotesques et se retrouvent très souvent au bord de la catastrophe. La persévérance des Brooklyn Brothers, rejoints par la jeune manager Cassidy, les porte vers un voyage initiatique qui pourrait bien être leur dernière tentative pour réaliser leurs rêves de jeunesse.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dFCIc6WErBB4V2MfdTErOwHGVLi.jpg,"Comedy,Music",Non renseigné,United States of America,"Taggart Productions, Character Brigade, Oscilloscope",https://image.tmdb.org/t/p/w300/bTMeosrSiKaTPmZiTYnSDZlin5d.png,,,2012
tt5176580,502147,Nuits sauvages avec Emily,Wild Nights with Emily,2018-03-11,84,40000000.0,92000000.0,US,en,5.9,45.0,2.4,Un aspect méconnu de la vie de la poétesse américaine Emily Dickinson : sa relation amoureuse avec sa belle-soeur Susan Huntington Gilbert qui durera toute sa vie.,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/s33XqvI1RNEpI24Uk6bTNgN5lP0.jpg,"Comedy,History","massachusetts, poet, biography, lgbt, 19th century, emily dickinson",United States of America,"Salem Street Entertainment, P2 Films, UnLTD Productions",https://image.tmdb.org/t/p/w300/ials5lX7dXuaCq8nVSzhVAhv6Nf.png,"massachusetts,biography,lgbt,19th century",,2018
tt0218182,29122,An Everlasting Piece,An Everlasting Piece,2000-12-22,103,40000000.0,92000000.0,US,en,5.9,8.0,4.0,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ozeKjgyCLOUufeqE0FqiuPO61Qv.jpg,Comedy,"toupee, scalper",United States of America,"DreamWorks Pictures, Columbia Pictures, Bayahibe Films, Baltimore/Spring Creek Pictures","https://image.tmdb.org/t/p/w300/vru2SssLX3FPhnKZGtYw00pVIS9.png, https://image.tmdb.org/t/p/w300/71BqEFAF4V3qjjMPCpLuyJFB9A.png",,"DreamWorks Pictures,Columbia Pictures",2000
tt0258100,14923,Run Ronnie Run,Run Ronnie Run,2002-01-20,84,40000000.0,92000000.0,US,en,5.9,80.0,3.4,"Ronnie Dobbs, un acteur excentrique, devient extrêmement populaire grâce à ses apparitions dans des reality-shows. Un jour, une grande multinationale l'engage pour se présenter aux élections présidentielles.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3AYJFRGu3rEGfFurxlc53RWiSWQ.jpg,Comedy,"beer, reality spoof, redneck, criminal, aftercreditsstinger, duringcreditsstinger, evading police",United States of America,"HBO, Burg/Koules Productions, Dakota North Entertainment, Dakota Pictures","https://image.tmdb.org/t/p/w300/tuomPhY2UtuPTqqFnKMVHvSb724.png, https://image.tmdb.org/t/p/w300/3WxMsoZ8XiyxzjJsbvlX139yk1o.png","criminal,aftercreditsstinger,duringcreditsstinger",,2002
tt1516002,88057,A Beginner's Guide to Endings,A Beginner's Guide to Endings,2010-09-17,93,39000000.0,48428063.0,"US, CA",en,6.0,31.0,1.2,"Trois frères, ayant appris qu'ils mourront dans quelques jours, reviennent sur leurs vies remplies d'erreurs et de regrets.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/lRDn3rLSYPiLPurOOWYy3iCMFet.jpg,"Comedy,Drama",Non renseigné,"Canada, United States of America",Darius Films,https://image.tmdb.org/t/p/w300/gDkL1DKC1IaXToq7APrT8vBXK4y.png,,,2010
tt1935940,250535,Noël en cavale,Get Santa,2014-12-05,103,27000000.0,38058335.0,"US, GB",en,6.0,138.0,3.8,"Un père et son fils aident le Père Noël a rentrer au Groenland suite au crash de son traineau sur Londres, et son arrestation par la police.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/dluYDjMIczNbAPjV6RbYljuWeMS.jpg,"Comedy,Family,Fantasy","prison, santa claus, saving christmas, reindeer, christmas, holiday comedy","United Kingdom, Poland","Scott Free Productions, Chimney Poland, Ingenious Media, Altitude Film Entertainment, Screen Yorkshire","https://image.tmdb.org/t/p/w300/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png, https://image.tmdb.org/t/p/w300/jrgCuaQsY9ouP5ILZf4Dq4ZOkIX.png, https://image.tmdb.org/t/p/w300/ueSsb3nJfvu8utNO1linVypm2mv.png, https://image.tmdb.org/t/p/w300/9XXpd39mDfkWmcNB6R0tpvzo781.png","prison,santa claus,christmas","Scott Free Productions,Ingenious Media",2014
tt1851006,139820,Goltzius et la Compagnie du Pélican,Goltzius & the Pelican Company,2014-02-05,116,27000000.0,38058335.0,GB,en,6.0,37.0,0.4,"Pays-Bas. 16ème siècle. Hendrik Goltzius est un célèbre peintre et graveur d’œuvres érotiques. Il aimerait ouvrir une imprimerie pour éditer des livres illustrés. Il sollicite alors le Margrave (Marquis) d’Alsace et lui promet un livre extraordinaire avec des images et des histoires de l’Ancien Testament regroupant les contes érotiques de Loth et ses filles, David et Bethsabée, Samson et Dalila, Saint Jean-Baptiste et Salomé. Pour le séduire davantage, il lui offre alors de mettre en scène ces histoires érotiques pour sa cour.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/vnfImYAZxeT5NXdIndKUaHo7ADd.jpg,"Biography,Comedy,History","sexuality, biography","United Kingdom, Croatia, France, Netherlands","Film and Music Entertainment, Head Gear Films, Metrol Technology","https://image.tmdb.org/t/p/w300/h7RoHnW0eUCqAYAImeFjDlClR8n.png, https://image.tmdb.org/t/p/w300/583ITs4w9sK31FnJwKiRwapTpzb.png, https://image.tmdb.org/t/p/w300/oga9DS7GZGbZ0iZ4JFuVTBMBv1C.png",biography,,2014
tt2007360,158743,Computer Chess,Computer Chess,2013-07-17,91,40000000.0,92000000.0,US,en,6.0,109.0,0.4,Non renseigné,Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/13lK8Ytp218J0mPullUzpvHjNrX.jpg,Comedy,"hotel, artificial intelligence (a.i.), computer, chess, nerd, mockumentary, chess tournament, playing chess, computer programming, 1980s",United States of America,Computer Chess,Non renseigné,"artificial intelligence (a.i.),1980s",,2013
tt5157426,733508,Small Town Wisconsin,Small Town Wisconsin,2020-08-17,106,40000000.0,92000000.0,US,en,6.0,10.0,1.9,"Après avoir perdu la garde de ses enfants, Wayne Stobierski, éternel adolescent, emmène son fils pour un dernier week-end père-fils dans la ville de leurs rêves : Milwaukee, dans le Wisconsin. Ce qui devait être une aventure légère se transforme rapidement en un voyage de profonde rédemption.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/sepUT2tRBgHZffmyZa8NPRr7QzZ.jpg,"Comedy,Drama","wisconsin, alcoholic father, milwaukee wisconsin, estranged sister, baseball game",United States of America,,Non renseigné,,,2020
tt15939198,896151,Blitz,Blitz,2024-11-01,120,41500000.0,81978936.0,US,en,6.0,222.0,5.7,"À Londres, pendant la Seconde Guerre mondiale, un jeune garçon de neuf ans prénommé George est évacué vers la campagne par sa mère, Rita, pour échapper aux bombardements. Déterminé à retrouver sa famille, il entreprend un voyage épique et périlleux pour rentrer chez lui, tandis que sa mère est à sa recherche.",Non renseigné,https://image.tmdb.org/t/p/w600_and_h900_bestv2/e9tyjbF2rugENtBolTtEhHOXgzD.jpg,"Action,Drama,History","factory, london, england, world war ii, flooding, singer, racism, train, biracial, questioning, london blitz, 1940s, zealous, mother son relationship, wonder, anxious, train station, tense, sentimental, melodramatic, powerful, sincere, sympathetic","United Kingdom, United States of America","Working Title Films, New Regency Pictures, Apple Studios, Lammas Park","https://image.tmdb.org/t/p/w300/16KWBMmfPX0aJzDExDrPxSLj0Pg.png, https://image.tmdb.org/t/p/w300/4sGWXoboEkWPphI6es6rTmqkCBh.png, https://image.tmdb.org/t/p/w300/oE7H93u8sy5vvW5EH3fpCp68vvB.png, https://image.tmdb.org/t/p/w300/zrGRmk1b1EjYxHfign2DMMEuIsf.png","london,england,world war ii,racism,train,1940s,zealous,mother son relationship,wonder,anxious,tense,sentimental,melodramatic,powerful,sincere,sympathetic","Working Title Films,New Regency Pictures,Apple Studios",2024
